FullDate,Service_ID,KPI_ID,Value
04/04/2024,Service_ID2,KPI_1,0.50
09/04/2024,Service_ID2,KPI_1,0.50
20/04/2024,Service_ID2,KPI_1,1.50
01/04/2024,Service_ID3,KPI_1,0.50
02/04/2024,Service_ID3,KPI_1,0.90
03/04/2024,Service_ID3,KPI_1,0.60
04/04/2024,Service_ID3,KPI_1,0.96
05/04/2024,Service_ID3,KPI_1,0.70
06/04/2024,Service_ID3,KPI_1,0.94
07/04/2024,Service_ID3,KPI_1,0.75
08/04/2024,Service_ID3,KPI_1,0.70
09/04/2024,Service_ID3,KPI_1,0.64
10/04/2024,Service_ID3,KPI_1,0.83
11/04/2024,Service_ID3,KPI_1,1.17
12/04/2024,Service_ID3,KPI_1,0.50
13/04/2024,Service_ID3,KPI_1,0.86
14/04/2024,Service_ID3,KPI_1,0.50
15/04/2024,Service_ID3,KPI_1,1.81
16/04/2024,Service_ID3,KPI_1,1.64
17/04/2024,Service_ID3,KPI_1,1.30
18/04/2024,Service_ID3,KPI_1,0.70
19/04/2024,Service_ID3,KPI_1,0.83
20/04/2024,Service_ID3,KPI_1,0.50
21/04/2024,Service_ID3,KPI_1,2.50
22/04/2024,Service_ID3,KPI_1,1.00
23/04/2024,Service_ID3,KPI_1,0.67
24/04/2024,Service_ID3,KPI_1,0.90
25/04/2024,Service_ID3,KPI_1,0.90
26/04/2024,Service_ID3,KPI_1,0.90
27/04/2024,Service_ID3,KPI_1,1.17
28/04/2024,Service_ID3,KPI_1,0.50
29/04/2024,Service_ID3,KPI_1,0.50
30/04/2024,Service_ID3,KPI_1,0.80
01/05/2024,Service_ID3,KPI_1,1.30
02/05/2024,Service_ID3,KPI_1,0.75
03/05/2024,Service_ID3,KPI_1,0.50
04/05/2024,Service_ID3,KPI_1,0.64
05/05/2024,Service_ID3,KPI_1,0.68
06/05/2024,Service_ID3,KPI_1,0.96
07/05/2024,Service_ID3,KPI_1,1.14
08/05/2024,Service_ID3,KPI_1,0.64
09/05/2024,Service_ID3,KPI_1,1.17
10/05/2024,Service_ID3,KPI_1,1.00
11/05/2024,Service_ID3,KPI_1,1.28
12/05/2024,Service_ID3,KPI_1,0.83
13/05/2024,Service_ID3,KPI_1,0.50
14/05/2024,Service_ID3,KPI_1,1.00
15/05/2024,Service_ID3,KPI_1,0.50
24/04/2024,Service_ID4,KPI_1,1.50
